season,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
1,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985
1,1,0,0,0,2,0.363478,0.35373899999999997,0.696087,0.24853899999999998,801
1,1,0,1,1,1,0.196364,0.189405,0.43727299999999997,0.248309,1349
1,1,0,2,1,1,0.2,0.21212199999999998,0.590435,0.160296,1562
1,1,0,3,1,1,0.22695700000000002,0.22926999999999997,0.436957,0.1869,1600
1,1,0,4,1,1,0.204348,0.23320900000000003,0.518261,0.0895652,1606
1,1,0,5,1,2,0.196522,0.208839,0.49869600000000003,0.168726,1510
1,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,959
1,1,0,0,0,1,0.13833299999999998,0.116175,0.434167,0.36195,822
1,1,0,1,1,1,0.150833,0.15088800000000002,0.482917,0.22326700000000002,1321
1,1,0,2,1,2,0.16909100000000002,0.19146400000000002,0.6863640000000001,0.12213199999999999,1263
1,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,1162
1,1,0,4,1,1,0.165,0.150883,0.47041700000000003,0.301,1406
1,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,1421
1,1,0,6,0,2,0.23333299999999998,0.248112,0.49875,0.15796300000000002,1248
1,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,1204
1,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,1000
1,1,0,2,1,2,0.216667,0.23233299999999998,0.861667,0.146775,683
1,1,0,3,1,2,0.292174,0.29842199999999997,0.741739,0.208317,1650
1,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,1927
1,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,1543
1,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,981
1,1,0,0,0,1,0.0965217,0.09883910000000001,0.436522,0.2466,986
1,1,0,1,1,1,0.0973913,0.11793,0.49173900000000004,0.15833,1416
1,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,1985
1,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,506
1,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,431
1,1,0,5,1,2,0.203478,0.22331700000000002,0.793043,0.1233,1167
1,1,0,6,0,1,0.196522,0.212126,0.6517390000000001,0.14536500000000002,1098
1,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,1096
1,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,1501
1,2,0,2,1,2,0.192174,0.23453000000000002,0.829565,0.053212999999999996,1360
1,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,1526
1,2,0,4,1,1,0.18695699999999998,0.177878,0.43782600000000005,0.277752,1550
